First Name,Last Name,Gender,Date of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Year of Joining,DOW of Joining,Age in Company (Years),Initial Salary,Salary increase % ,State,Region
Oren,Ly,M,1/2/1993,24.58,78,4/3/2015,2015,Friday,2.32,92353,3%,CO,West
Kristal,Brandt,F,2/17/1961,56.48,50,9/2/1985,1985,Monday,31.92,163886,20%,MA,Northeast
Max,Evans,M,2/24/1961,56.46,65,5/31/2017,2017,Wednesday,0.16,186308,0%,NY,Northeast
Elfriede,Grissom,F,5/14/1990,27.22,53,10/6/2011,2011,Thursday,5.81,197980,25%,WY,West
Ivan,Saldivar,M,8/4/1988,29,62,3/13/2012,2012,Tuesday,5.38,116155,29%,NC,South
Luther,Duval,M,3/24/1987,30.37,56,10/14/2015,2015,Wednesday,1.79,92048,13%,AR,South
Joseph,Jefferies,M,10/19/1969,47.81,73,10/27/2011,2011,Thursday,5.76,123109,5%,NC,South
Sherman,Braun,M,3/2/1981,36.43,84,8/20/2015,2015,Thursday,1.94,143706,5%,CA,West
Dave,Renner,M,11/4/1979,37.76,78,12/8/2015,2015,Tuesday,1.64,90579,22%,TX,South
Broderick,Castellano,M,2/9/1990,27.48,52,8/7/2015,2015,Friday,1.98,133974,23%,MO,Midwest
Noe,Sexton,M,12/29/1989,27.6,55,4/23/2012,2012,Monday,5.27,141748,15%,MO,Midwest
Stanton,Archer,M,4/2/1994,23.34,70,8/28/2016,2016,Sunday,0.92,174548,22%,WI,Midwest
Angeline,Chew,F,10/31/1982,34.76,57,6/21/2008,2008,Saturday,9.11,97781,28%,IN,Midwest
Brandee,Hannon,F,8/10/1958,59.01,50,2/1/1984,1984,Wednesday,33.51,173187,0%,PA,Northeast
Chantel,Marble,F,2/29/1960,57.45,54,10/24/1998,1998,Saturday,18.77,41647,10%,WA,West
Nelson,Calhoun,M,3/17/1982,35.39,73,3/6/2009,2009,Friday,8.4,142233,21%,SD,Midwest
Carolyne,Olivarez,F,8/31/1960,56.95,60,9/27/2016,2016,Tuesday,0.83,112577,24%,IL,Midwest
Leonore,Shade,F,5/5/1989,28.25,40,5/10/2011,2011,Tuesday,6.22,95245,12%,WY,West
Clemente,TRUE,M,5/21/1970,47.22,53,8/17/1996,1996,Saturday,20.96,96137,19%,PA,Northeast
Kendrick,Thomason,M,3/12/1976,41.41,60,5/11/2005,2005,Wednesday,12.22,76771,17%,TN,South
Darin,Eskridge,M,11/15/1959,57.74,78,11/14/2007,2007,Wednesday,9.71,54936,0%,AZ,West
Lorna,Voigt,F,5/30/1994,23.18,49,6/19/2015,2015,Friday,2.11,110236,13%,ND,Midwest
Sherie,Wahl,F,1/20/1970,47.55,50,10/14/2010,2010,Thursday,6.79,84953,14%,TN,South
Marjory,Van,F,6/26/1988,29.11,60,6/4/2010,2010,Friday,7.15,48955,16%,TN,South
Georgine,Mcfarlane,F,12/30/1973,43.61,53,10/20/2008,2008,Monday,8.78,42487,2%,CA,West
Hui,Crawford,F,9/12/1993,23.89,58,11/14/2016,2016,Monday,0.7,155279,21%,WI,Midwest
Hyman,Kahn,M,4/4/1982,35.34,61,4/6/2015,2015,Monday,2.31,126739,18%,NY,Northeast
Coral,Bartholomew,F,12/27/1992,24.6,48,3/29/2014,2014,Saturday,3.33,72855,14%,TN,South
Colby,Messer,M,2/6/1963,54.51,87,2/6/1990,1990,Tuesday,27.49,43012,9%,HI,West
Hollis,Esquivel,F,6/21/1978,39.13,51,4/30/2008,2008,Wednesday,9.25,137024,27%,NY,Northeast
Rey,Swartz,M,5/8/1967,50.26,53,5/14/1989,1989,Sunday,28.22,111543,18%,WA,West
Tobi,Pratt,F,9/16/1983,33.89,50,9/8/2007,2007,Saturday,9.89,48326,4%,AL,South
Danilo,Donley,M,2/24/1990,27.44,79,9/23/2011,2011,Friday,5.85,46951,20%,VA,South
Nicolle,Gladney,F,10/31/1969,47.77,42,8/29/1993,1993,Sunday,23.93,54152,0%,TX,South
Eduardo,Ralston,M,5/19/1959,58.23,80,4/25/1988,1988,Monday,29.28,133321,27%,AK,West
Eugenio,Weis,M,3/27/1994,23.35,69,5/30/2016,2016,Monday,1.16,63502,13%,MN,Midwest
Nena,Sibley,F,9/13/1967,49.91,51,6/14/2005,2005,Tuesday,12.13,119900,13%,SC,South
Jerrold,Dennison,M,4/8/1960,57.34,64,2/15/2006,2006,Wednesday,11.45,159879,30%,MO,Midwest
Leopoldo,Amos,M,8/23/1968,48.96,68,11/24/1991,1991,Sunday,25.69,162433,11%,FL,South
Susy,Murrell,F,4/30/1961,56.28,55,8/22/1991,1991,Thursday,25.95,97300,4%,WI,Midwest
Ronnie,Nolen,M,3/5/1989,28.42,57,3/24/2017,2017,Friday,0.35,175109,11%,WA,West
Robin,Cooks,F,2/6/1972,45.5,47,4/3/1993,1993,Saturday,24.33,44445,11%,NE,Midwest
Dante,Devine,M,3/14/1962,55.41,71,5/7/2006,2006,Sunday,11.23,78146,28%,KY,South
Harris,Vasquez,M,4/6/1978,39.34,51,5/27/2014,2014,Tuesday,3.17,81915,22%,RI,Northeast
Murray,Fogg,M,8/7/1958,59.01,75,4/25/1983,1983,Monday,34.28,105988,1%,TN,South
Sean,Coggins,M,1/20/1960,57.56,65,2/24/1983,1983,Thursday,34.45,157628,9%,FL,South
Alfonso,Edmonds,M,4/20/1961,56.31,75,6/8/2012,2012,Friday,5.14,61136,16%,CA,West
Sanjuana,Groves,F,7/10/1963,54.09,44,7/4/2016,2016,Monday,1.07,165329,19%,WA,West
Man,Willie,M,11/15/1960,56.74,54,11/14/2016,2016,Monday,0.7,118601,9%,TX,South
Kellie,Bustamante,F,8/23/1986,30.95,41,11/7/2012,2012,Wednesday,4.72,171234,30%,VA,South
Gonzalo,Kolb,M,12/12/1982,34.65,75,1/23/2015,2015,Friday,2.51,65982,14%,UT,West
Luke,Leboeuf,M,2/11/1992,25.48,72,12/14/2014,2014,Sunday,2.62,53798,14%,NE,Midwest
Elliott,Marcus,M,6/12/1969,48.16,56,4/26/1994,1994,Tuesday,23.27,144169,8%,TX,South
Rory,Napier,M,11/3/1968,48.76,56,2/27/1998,1998,Friday,19.43,101601,27%,PA,Northeast
Sammie,Hylton,F,5/27/1981,36.19,53,2/28/2011,2011,Monday,6.42,133671,17%,AL,South
Minh,Michaud,M,4/1/1964,53.36,68,6/6/1996,1996,Thursday,21.16,154366,25%,NE,Midwest
Glenda,Donovan,F,9/28/1982,34.85,50,8/11/2006,2006,Friday,10.97,91568,8%,PA,Northeast
Sol,Valentine,F,5/19/1970,47.22,56,12/23/2016,2016,Friday,0.59,192098,24%,TN,South
Jed,Martindale,M,8/17/1984,32.97,54,6/14/2011,2011,Tuesday,6.13,104094,6%,NV,West
Cletus,Davila,M,8/25/1975,41.95,75,6/3/2015,2015,Wednesday,2.15,197353,1%,NE,Midwest
Marsha,Ash,F,9/6/1965,51.93,44,4/9/1998,1998,Thursday,19.32,139833,9%,MA,Northeast
Shanda,Abraham,F,5/25/1987,30.2,44,8/19/2011,2011,Friday,5.95,195626,20%,DC,South
Myong,Mora,F,11/6/1957,59.76,52,11/13/2006,2006,Monday,10.71,168552,1%,PA,Northeast
Malcolm,Kenney,M,3/15/1986,31.39,90,12/22/2013,2013,Sunday,3.6,138864,16%,LA,South
Deanna,Sandlin,F,2/10/1986,31.48,49,10/5/2016,2016,Wednesday,0.81,110652,13%,IL,Midwest
Mitchel,Chamberlin,M,12/1/1967,49.69,51,7/23/2015,2015,Thursday,2.02,137114,29%,WV,South
Darell,Padgett,M,12/18/1978,38.64,89,11/4/2013,2013,Monday,3.73,182248,8%,NH,Northeast
Dorotha,Pauley,F,5/28/1995,22.18,55,7/28/2016,2016,Thursday,1,143283,25%,NH,Northeast
Nathanial,Easter,M,6/17/1961,56.15,81,3/21/2007,2007,Wednesday,10.36,160871,26%,MN,Midwest
Shu,Wentworth,F,3/31/1987,30.35,41,1/20/2012,2012,Friday,5.52,156029,3%,MS,South
Merle,Reynolds,M,3/10/1985,32.41,66,5/5/2006,2006,Friday,11.24,136794,3%,OK,South
Colene,Harder,F,11/9/1983,33.74,46,11/9/2009,2009,Monday,7.72,125777,18%,NY,Northeast
Shelton,Morey,M,1/7/1990,27.57,87,4/29/2015,2015,Wednesday,2.25,74991,21%,NE,Midwest
Blaine,Strader,M,8/17/1994,22.96,66,1/1/2016,2016,Friday,1.57,68862,9%,TX,South
Kip,Pritchett,M,6/5/1987,30.17,60,12/29/2008,2008,Monday,8.58,192709,17%,TX,South
Myrtis,Staten,F,10/1/1971,45.85,49,8/4/2000,2000,Friday,16.99,134792,10%,KS,Midwest
German,Jasso,M,9/8/1980,36.91,86,4/29/2006,2006,Saturday,11.25,197672,17%,NJ,Northeast
Randal,Enright,M,8/20/1988,28.96,62,11/4/2016,2016,Friday,0.73,91639,17%,ID,West
Rico,Lemay,M,10/30/1972,44.77,56,11/22/2003,2003,Saturday,13.69,111914,5%,TX,South
Richie,Stevenson,M,5/27/1960,57.21,50,1/3/1993,1993,Sunday,24.58,134557,16%,CO,West
Lani,Bernstein,F,4/5/1984,33.33,59,9/16/2007,2007,Sunday,9.87,166228,3%,CA,West
Julissa,Couture,F,9/17/1958,58.9,47,12/7/2011,2011,Wednesday,5.64,162419,27%,PA,Northeast
Rayford,Kaufman,M,4/9/1963,54.34,50,8/28/2014,2014,Thursday,2.92,170242,14%,LA,South
Sha,Rodgers,F,9/17/1990,26.88,45,3/1/2016,2016,Tuesday,1.41,147583,0%,OK,South
Felton,Beaman,M,1/23/1979,38.54,74,8/24/2009,2009,Monday,7.93,83128,22%,CA,West
Viola,Paquette,F,8/4/1982,35.01,48,3/5/2011,2011,Saturday,6.4,103786,27%,MN,Midwest
Young,Byrne,F,11/1/1995,21.75,58,12/13/2016,2016,Tuesday,0.62,189928,6%,OK,South
Roberto,Morehead,M,10/7/1967,49.84,74,5/28/2001,2001,Monday,16.18,117159,24%,WA,West
Don,Koch,M,5/19/1968,49.22,74,10/25/2005,2005,Tuesday,11.76,128501,21%,TX,South
Mercedez,Burke,F,12/24/1972,44.62,49,10/2/1998,1998,Friday,18.83,145362,14%,NC,South
Ambrose,Tribble,M,6/5/1986,31.17,59,4/4/2009,2009,Saturday,8.32,52113,7%,FL,South
Guadalupe,Krause,M,2/23/1992,25.44,79,8/23/2013,2013,Friday,3.93,129858,20%,WV,South
Yoshiko,Hannan,F,12/28/1960,56.62,59,8/19/1986,1986,Tuesday,30.96,52629,17%,TX,South
Mitchel,Cornelius,M,11/13/1969,47.74,86,8/17/1997,1997,Sunday,19.96,46296,27%,MT,West
Humberto,Friend,M,2/6/1983,34.5,76,1/10/2014,2014,Friday,3.55,89349,10%,DC,South
Theodore,Horan,M,8/25/1989,27.94,74,8/24/2010,2010,Tuesday,6.93,198035,16%,WI,Midwest
Israel,Brinkley,M,8/22/1990,26.95,85,3/7/2012,2012,Wednesday,5.39,148454,18%,VT,Northeast
Ahmad,Doss,M,2/13/1965,52.49,59,12/4/2011,2011,Sunday,5.65,177772,0%,VA,South
Buffy,Lutz,F,9/2/1990,26.92,40,5/23/2017,2017,Tuesday,0.18,78089,16%,MD,South
Thanh,Carman,M,8/20/1964,52.97,65,12/21/1993,1993,Tuesday,23.62,82321,24%,PA,Northeast
Sheridan,Barone,F,8/15/1979,37.98,59,10/4/2016,2016,Tuesday,0.81,184068,24%,PA,Northeast
Irvin,Kuntz,M,12/20/1960,56.64,63,3/24/1990,1990,Saturday,27.36,85499,24%,OR,West
Joshua,Hardison,M,3/14/1990,27.39,67,7/11/2016,2016,Monday,1.05,191196,11%,SD,Midwest
Aiko,Dupuis,F,7/14/1980,37.06,51,10/1/2009,2009,Thursday,7.83,114136,27%,ND,Midwest
Kieth,Barger,M,2/14/1992,25.47,83,4/17/2014,2014,Thursday,3.28,135225,23%,CA,West
Tonja,Hawk,F,6/26/1989,28.11,44,3/2/2014,2014,Sunday,3.41,132224,4%,MA,Northeast
Kerrie,Rollins,F,6/28/1958,59.12,46,3/20/2003,2003,Thursday,14.37,70434,25%,TX,South
Marvin,Collette,M,6/17/1984,33.13,80,5/27/2009,2009,Wednesday,8.18,138176,10%,SD,Midwest
Rosia,Mcmanus,F,11/21/1980,36.71,52,7/26/2004,2004,Monday,13.01,157832,6%,MI,Midwest
Doyle,South,M,2/25/1976,41.45,59,12/11/2015,2015,Friday,1.63,140222,24%,KS,Midwest
Shery,Pease,F,7/8/1965,52.09,45,4/18/2000,2000,Tuesday,17.29,178981,4%,IA,Midwest
Estell,Sherry,F,8/5/1982,35,59,9/28/2013,2013,Saturday,3.83,94919,21%,PA,Northeast
Catherina,Toledo,F,8/15/1962,54.99,49,8/30/2013,2013,Friday,3.91,120455,12%,PA,Northeast
Barton,Caban,M,3/28/1993,24.35,87,6/17/2015,2015,Wednesday,2.12,153798,22%,MO,Midwest
Elisha,Bauman,M,1/27/1960,57.54,58,2/5/2008,2008,Tuesday,9.48,153915,2%,LA,South
Gemma,Rowan,F,9/25/1981,35.86,47,12/17/2012,2012,Monday,4.61,163125,1%,MI,Midwest
Abdul,Jennings,M,6/25/1959,58.13,90,11/11/1987,1987,Wednesday,29.73,136814,2%,KY,South
Judson,Crenshaw,M,6/14/1967,50.16,55,9/10/1988,1988,Saturday,28.9,121792,16%,TX,South
Nichole,Stephens,F,2/12/1984,33.48,44,11/12/2014,2014,Wednesday,2.71,78722,8%,IA,Midwest
Danna,Bravo,F,10/17/1969,47.81,47,2/4/2008,2008,Monday,9.48,142335,22%,VA,South
Berry,Mccabe,M,8/21/1979,37.96,85,5/5/2017,2017,Friday,0.23,178286,15%,PA,Northeast
Ronnie,Felton,M,4/9/1972,45.33,87,11/13/2009,2009,Friday,7.71,100072,9%,NC,South
Lesa,Haggerty,F,6/3/1958,59.19,55,11/12/1985,1985,Tuesday,31.73,195797,2%,OH,Midwest
Rashad,Mccain,M,4/10/1974,43.33,79,2/13/2017,2017,Monday,0.45,155371,0%,WA,West
Samara,Ellsworth,F,10/12/1958,58.83,42,1/26/2006,2006,Thursday,11.51,46403,22%,TN,South
Eliseo,Jeffery,M,8/9/1974,43,73,4/3/2005,2005,Sunday,12.33,174039,19%,AL,South
Yer,Padgett,F,11/22/1974,42.71,46,12/11/2002,2002,Wednesday,14.64,178936,13%,NY,Northeast
Sergio,Wolfe,M,10/25/1964,52.79,64,7/11/2002,2002,Thursday,15.06,110837,13%,CO,West
Jacquelyne,Callaghan,F,7/2/1974,43.1,40,5/18/2014,2014,Sunday,3.2,185357,9%,IN,Midwest
Chance,Rudolph,M,3/13/1971,46.41,78,11/27/1992,1992,Friday,24.68,101124,22%,TX,South
Jarrett,Ybarra,M,4/6/1965,52.35,85,6/19/1986,1986,Thursday,31.13,45844,2%,IA,Midwest
Bennett,Long,M,8/18/1989,27.96,67,2/21/2011,2011,Monday,6.44,165618,2%,ME,Northeast
Elsy,Christy,F,12/11/1992,24.64,40,1/4/2016,2016,Monday,1.56,134492,29%,WA,West
Emmanuel,Feeney,M,2/22/1969,48.46,53,3/19/2001,2001,Monday,16.37,113290,3%,TN,South
Giovanni,Walden,M,6/2/1993,24.17,72,12/3/2016,2016,Saturday,0.65,150635,30%,TX,South
Brigida,Mays,F,2/11/1961,56.5,48,12/27/2012,2012,Thursday,4.59,107379,9%,NJ,Northeast
Freddy,Harter,M,3/31/1966,51.36,88,1/16/1988,1988,Saturday,29.55,60809,24%,NE,Midwest
Madaline,Blum,F,5/31/1966,51.19,56,2/5/1994,1994,Saturday,23.49,159532,11%,SC,South
Sixta,Boynton,F,2/1/1963,54.52,54,3/20/2004,2004,Saturday,13.36,96324,3%,IN,Midwest
Charlott,Batten,F,2/28/1987,30.43,59,2/25/2009,2009,Wednesday,8.42,57068,15%,KS,Midwest
Ashley,Waters,M,12/14/1968,48.65,81,2/27/2017,2017,Monday,0.41,91469,18%,LA,South
Alonso,Dibble,M,4/26/1971,46.29,57,12/20/2000,2000,Wednesday,16.61,148374,0%,AZ,West
Bill,Raines,M,2/1/1988,29.51,90,6/19/2010,2010,Saturday,7.11,87337,10%,DC,South
Letty,Donaldson,F,11/21/1961,55.72,40,11/26/1997,1997,Wednesday,19.68,91413,12%,CA,West
Duncan,Canales,M,8/25/1983,33.95,79,5/1/2008,2008,Thursday,9.25,166284,9%,FL,South
Deshawn,Donohue,M,1/15/1983,34.56,81,6/29/2008,2008,Sunday,9.08,70373,29%,TX,South
Ming,Russ,F,2/6/1983,34.5,45,7/3/2011,2011,Sunday,6.07,82002,21%,UT,West
Lenard,Wisniewski,M,12/5/1974,42.67,84,9/11/2005,2005,Sunday,11.88,65425,10%,WA,West
Rolland,Cranford,M,6/5/1959,58.19,63,5/6/1993,1993,Thursday,24.24,90226,30%,PA,Northeast
Bernie,Beach,M,2/22/1972,45.46,66,4/25/2016,2016,Monday,1.26,160618,24%,NV,West
Eulah,Mcdaniels,F,12/20/1994,22.62,53,1/5/2017,2017,Thursday,0.56,105057,21%,NE,Midwest
Maurice,Hoyle,M,1/30/1980,37.52,83,8/28/2004,2004,Saturday,12.92,114894,27%,MS,South
Ann,Frye,F,4/11/1987,30.32,47,6/25/2014,2014,Wednesday,3.09,105921,25%,CA,West
Geraldo,South,M,12/30/1977,39.6,55,5/30/2011,2011,Monday,6.17,141227,25%,FL,South
Frances,Ramey,M,4/24/1988,29.28,71,2/5/2015,2015,Thursday,2.48,120144,5%,DC,South
Ethan,Corbin,M,10/1/1970,46.85,75,11/1/2010,2010,Monday,6.74,78892,28%,CA,West
Lane,Robbins,M,10/13/1968,48.82,81,9/3/1998,1998,Thursday,18.91,66153,14%,AR,South
Antoine,Whitley,M,5/18/1972,45.22,61,4/12/1997,1997,Saturday,20.31,103851,26%,OH,Midwest
Thi,Rosen,F,12/13/1981,35.65,51,10/6/2013,2013,Sunday,3.81,102311,7%,CA,West
Gertha,Root,F,6/3/1960,57.19,45,9/9/1998,1998,Wednesday,18.9,82273,16%,MN,Midwest
Marisol,Wynne,F,5/31/1986,31.18,57,1/22/2012,2012,Sunday,5.52,86362,20%,CA,West
Katherin,Gleason,F,11/20/1995,21.7,48,6/8/2017,2017,Thursday,0.14,152172,18%,CA,West
Porsha,Mchenry,F,6/11/1990,27.15,52,5/9/2012,2012,Wednesday,5.22,150514,10%,WA,West
April,Betts,F,3/16/1963,54.41,57,7/4/2012,2012,Wednesday,5.07,198172,15%,SD,Midwest
Antonio,Treat,F,3/15/1972,45.4,42,12/26/2012,2012,Wednesday,4.59,117142,30%,NY,Northeast
Danial,Briones,M,7/14/1982,35.06,64,12/19/2005,2005,Monday,11.61,84401,2%,MT,West
Rocio,Edward,F,8/15/1965,51.99,55,1/2/1991,1991,Wednesday,26.59,160114,27%,OH,Midwest
Gordon,Lincoln,M,4/26/1974,43.28,86,4/17/2011,2011,Sunday,6.28,150504,2%,IN,Midwest
Deandre,Orozco,M,2/11/1961,56.5,61,11/17/1988,1988,Thursday,28.71,196747,29%,WA,West
Lauri,Roney,F,2/18/1974,43.47,43,7/19/2007,2007,Thursday,10.03,75784,16%,IL,Midwest
Tien,Macdonald,F,12/26/1971,45.62,49,1/31/1999,1999,Sunday,18.5,175379,26%,TX,South
Margarito,Gaylord,M,8/4/1989,28,51,12/5/2016,2016,Monday,0.64,176468,19%,WA,West
Brad,Gossett,M,8/4/1993,24,65,7/10/2017,2017,Monday,0.05,103582,11%,KS,Midwest
Rudy,Field,M,11/17/1983,33.72,55,4/16/2010,2010,Friday,7.29,121096,8%,TN,South
Andrew,Dorman,M,4/28/1972,45.28,60,7/20/2013,2013,Saturday,4.02,141982,21%,NE,Midwest
Johnette,Grimes,F,12/26/1985,31.61,45,4/22/2014,2014,Tuesday,3.27,169041,29%,PA,Northeast
Trent,Jansen,M,2/19/1979,38.46,77,7/7/2011,2011,Thursday,6.06,168715,29%,WI,Midwest
Katherina,Mann,F,11/3/1976,40.76,58,3/27/2017,2017,Monday,0.34,157144,3%,IN,Midwest
Dortha,Eck,F,2/23/1964,53.46,42,4/21/2004,2004,Wednesday,13.28,179504,22%,PA,Northeast
Johnie,Koch,M,1/13/1980,37.56,79,12/7/2005,2005,Wednesday,11.65,139483,18%,PA,Northeast
Tiffani,Medrano,F,8/23/1988,28.95,53,7/26/2011,2011,Tuesday,6.01,48364,1%,NY,Northeast
Ludie,Lawson,F,6/7/1967,50.18,43,4/5/2006,2006,Wednesday,11.32,65264,22%,TX,South
Clora,Carswell,F,3/8/1960,57.43,42,8/2/1982,1982,Monday,35.01,93931,10%,SC,South
Setsuko,Roney,F,5/25/1969,48.21,58,5/6/2001,2001,Sunday,16.24,79835,18%,WI,Midwest
Teodoro,Toler,M,1/25/1962,55.54,51,5/9/2013,2013,Thursday,4.22,96409,25%,MD,South
Lucius,Montano,M,12/1/1960,56.69,54,6/23/1996,1996,Sunday,21.11,193828,16%,IN,Midwest
Clement,Fine,M,11/28/1968,48.7,77,8/13/1990,1990,Monday,26.98,50155,27%,MN,Midwest
Alicia,Fowlkes,F,4/27/1991,26.27,48,9/13/2015,2015,Sunday,1.87,185421,5%,NY,Northeast
Vance,Deboer,M,10/9/1961,55.84,85,8/12/1991,1991,Monday,25.98,56880,14%,ID,West
Marylouise,Franks,F,12/5/1972,44.67,40,10/8/2009,2009,Thursday,7.81,160734,20%,NM,West
Hector,Morales,M,1/14/1975,42.56,65,12/13/2000,2000,Wednesday,16.63,164476,18%,KS,Midwest
Sherman,Norris,M,3/18/1986,31.38,61,4/18/2008,2008,Friday,9.28,157342,2%,TX,South
Everette,Medlin,M,3/3/1958,59.44,66,12/21/1984,1984,Friday,32.62,196469,27%,KY,South
Laurence,Stamm,M,12/23/1970,46.63,66,2/17/2002,2002,Sunday,15.45,95914,6%,MO,Midwest
Elida,Furlong,F,1/9/1959,58.59,42,6/23/2004,2004,Wednesday,13.1,137098,22%,SD,Midwest
Agueda,Pickens,F,1/18/1973,44.55,54,7/17/2013,2013,Wednesday,4.03,144984,26%,AZ,West
Emilio,Cheng,M,2/12/1966,51.49,55,4/15/2015,2015,Wednesday,2.29,77019,16%,OH,Midwest
Necole,Bolen,F,11/26/1971,45.7,43,6/19/2012,2012,Tuesday,5.11,163833,23%,KS,Midwest
Tatyana,Reese,F,7/1/1994,23.09,40,9/30/2015,2015,Wednesday,1.83,44632,30%,IN,Midwest
Curt,Ordonez,M,11/26/1990,26.69,51,8/14/2013,2013,Wednesday,3.96,128512,15%,ID,West
Carmelina,Ralph,F,6/22/1986,31.12,57,7/19/2007,2007,Thursday,10.03,88034,10%,TX,South
Karon,Peeler,F,6/1/1983,34.18,45,6/23/2014,2014,Monday,3.1,125982,5%,NY,Northeast
Ryan,Padgett,M,12/4/1994,22.66,70,4/7/2017,2017,Friday,0.31,52597,12%,OK,South
Carlo,Yang,M,7/12/1962,55.08,51,11/14/2016,2016,Monday,0.7,141375,14%,MI,Midwest
Efren,Barringer,M,8/8/1986,30.99,68,9/27/2011,2011,Tuesday,5.84,139172,6%,OH,Midwest
Griselda,Schuster,F,8/7/1984,32.99,42,8/24/2010,2010,Tuesday,6.93,63389,19%,VA,South
Mercy,Guillen,F,12/14/1966,50.65,42,10/26/2008,2008,Sunday,8.76,167917,2%,PA,Northeast
Van,Juarez,M,9/3/1986,30.92,75,2/12/2015,2015,Thursday,2.46,52800,18%,TX,South
Renita,Mauldin,F,10/30/1958,58.78,46,9/13/1988,1988,Tuesday,28.89,152747,16%,TX,South
Soila,Forster,F,5/19/1984,33.21,45,6/4/2012,2012,Monday,5.15,179109,23%,AR,South
Merlin,House,M,11/27/1990,26.68,83,7/14/2012,2012,Saturday,5.04,191420,17%,MN,Midwest
Micheal,Lam,M,10/28/1967,49.78,90,6/22/2002,2002,Saturday,15.11,190299,21%,RI,Northeast
Olive,Mclaughlin,F,12/3/1978,38.68,58,4/27/2002,2002,Saturday,15.26,116230,30%,AL,South
Tambra,Schenk,F,1/23/1963,54.55,50,5/23/1992,1992,Saturday,25.2,160731,11%,IA,Midwest
Donny,Boisvert,M,6/18/1967,50.15,78,11/11/1993,1993,Thursday,23.73,190344,3%,WV,South
Cesar,Holder,M,6/18/1986,31.13,74,1/14/2012,2012,Saturday,5.54,82160,3%,IL,Midwest
Romona,Chastain,F,9/15/1991,25.88,59,12/1/2016,2016,Thursday,0.65,174748,20%,AK,West
Carey,Sutherland,M,10/6/1969,47.84,86,11/14/1994,1994,Monday,22.72,182874,30%,NE,Midwest
Delana,Mount,F,11/30/1987,29.68,42,4/29/2012,2012,Sunday,5.25,50830,20%,ND,Midwest
Denese,Post,F,10/10/1967,49.83,42,12/24/2015,2015,Thursday,1.59,119957,17%,OH,Midwest
Fernando,Wetzel,M,6/21/1986,31.12,67,1/9/2015,2015,Friday,2.55,123583,10%,AR,South
Krystin,Lindberg,F,1/2/1986,31.59,55,4/5/2009,2009,Sunday,8.32,189687,1%,IL,Midwest
Donald,Lombard,M,11/25/1963,53.71,81,4/16/1986,1986,Wednesday,31.3,190430,15%,FL,South
Filomena,Caruso,F,12/22/1973,43.63,50,11/29/2009,2009,Sunday,7.67,61043,12%,OH,Midwest
Darrel,Hopson,M,6/19/1977,40.13,76,1/1/2002,2002,Tuesday,15.58,60676,4%,CA,West
Terry,Slack,M,3/3/1984,33.42,77,11/13/2005,2005,Sunday,11.71,177353,1%,WA,West
Buford,Driver,M,9/13/1958,58.91,69,5/31/2008,2008,Saturday,9.16,70595,19%,FL,South
Jess,Burks,M,12/8/1989,27.65,87,9/12/2012,2012,Wednesday,4.88,131053,27%,WY,West
Sharleen,Mayfield,F,6/5/1984,33.17,42,5/11/2007,2007,Friday,10.22,119123,8%,NY,Northeast
Dannielle,Beamon,F,12/23/1985,31.62,49,5/19/2012,2012,Saturday,5.19,196585,3%,MN,Midwest
Ellis,Odonnell,M,11/11/1972,44.74,66,7/16/2017,2017,Sunday,0.03,109189,6%,NM,West
Jayson,Shade,M,8/24/1981,35.95,83,10/14/2015,2015,Wednesday,1.79,86403,27%,MD,South
Oscar,Boothe,M,2/10/1974,43.49,73,7/4/2011,2011,Monday,6.07,79674,4%,NY,Northeast
Nohemi,Weiner,F,1/10/1965,52.58,43,5/11/1989,1989,Thursday,28.23,75125,25%,ND,Midwest
Elijah,Hubbard,M,9/15/1963,53.9,85,10/6/2002,2002,Sunday,14.82,112980,6%,AL,South
Gigi,Kilpatrick,F,8/29/1993,23.93,59,4/26/2016,2016,Tuesday,1.25,76790,25%,VA,South
Effie,Neumann,F,9/21/1957,59.89,40,6/1/1999,1999,Tuesday,18.17,143239,24%,OR,West
Rashad,Gorham,M,3/25/1983,34.37,55,12/11/2011,2011,Sunday,5.63,140252,1%,MS,South
Gussie,Hedgepeth,F,9/18/1981,35.88,52,1/28/2003,2003,Tuesday,14.51,150140,13%,IN,Midwest
Trevor,Polanco,M,9/11/1973,43.91,55,6/20/2014,2014,Friday,3.11,107694,19%,CA,West
Deann,Downing,F,6/12/1971,46.16,54,7/26/1999,1999,Monday,18.02,143381,6%,CT,Northeast
Sol,Clemmons,M,6/6/1976,41.17,87,10/16/2004,2004,Saturday,12.79,61270,13%,ND,Midwest
Brock,Wilmoth,M,3/3/1995,22.42,64,9/3/2016,2016,Saturday,0.9,182750,19%,PA,Northeast
Travis,Schoonover,M,1/5/1987,30.58,77,4/5/2010,2010,Monday,7.32,182873,11%,ND,Midwest
Pablo,Charles,M,12/25/1978,38.62,54,11/1/2004,2004,Monday,12.75,78822,13%,CA,West
Angel,Shepard,M,10/12/1968,48.82,62,10/23/1992,1992,Friday,24.78,132018,22%,NY,Northeast
Dewey,Holcomb,M,7/25/1987,30.03,64,9/1/2011,2011,Thursday,5.91,59295,30%,MT,West
Alphonso,Mcghee,M,1/24/1963,54.55,89,9/28/2004,2004,Tuesday,12.84,166868,21%,NE,Midwest
